version,suite,round,name,sink,thread,size,pitch,aspect,paspect,width,height,depth
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,1000,1000,10/1,1000/1,10,1,100,69.919
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,1000,1000,1/1,1000/1,1,1,1000,74.096
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,1000,100,10/1,10/1,100,10,1,113.244
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,1000,100,1/10,10/1,1,10,100,108.583
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,1000,100,1/1,10/1,10,10,10,115.459
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,1000,10,1/100,1/10,1,100,10,434.549
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,1000,10,1/10,1/10,10,100,1,412.747
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,1000,1,1/1000,1/1000,1,1000,1,3418.383
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,100,100,100/1,100/1,100,1,1,75.37
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,100,100,10/1,100/1,10,1,10,67.021
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,100,100,1/1,100/1,1,1,100,82.78
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,100,10,1/10,1/1,1,10,10,98.645
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,100,10,1/1,1/1,10,10,1,106.825
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,100,1,1/100,1/100,1,100,1,436.211
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,10,10,10/1,10/1,10,1,1,63.03
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,10,10,1/1,10/1,1,1,10,68.207
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,10,1,1/10,1/10,1,10,1,101.757
8.6.12,bench/image-from-value.bench,0,image from value,null-s,1,1,1,1/1,1/1,1,1,1,69.663
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,100000,100000/1,100000/1,100000,1,1,1048.54
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,100000,10000/1,100000/1,10000,1,10,830.157
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,100000,1000/1,100000/1,1000,1,100,1360.749
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,100000,100/1,100000/1,100,1,1000,783.986
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,100000,10/1,100000/1,10,1,10000,878.559
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,100000,1/1,100000/1,1,1,100000,888.651
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,10000,1000/1,1000/1,10000,10,1,614.971
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,10000,100/1,1000/1,1000,10,10,509.506
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,10000,10/1,1000/1,100,10,100,476.021
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,10000,1/10,1000/1,1,10,10000,482.993
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,10000,1/1,1000/1,10,10,1000,506.359
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,1000,10/1,10/1,1000,100,1,769.277
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,1000,1/100,10/1,1,100,1000,687.254
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,1000,1/10,10/1,10,100,100,696.779
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,1000,1/1,10/1,100,100,10,680.793
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,100,1/1000,1/10,1,1000,100,4173.561
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,100,1/100,1/10,10,1000,10,4223.393
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,100,1/10,1/10,100,1000,1,3982.384
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,10,1/10000,1/1000,1,10000,10,39893.584
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,10,1/1000,1/1000,10,10000,1,40376.135
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100000,1,1/100000,1/100000,1,100000,1,346848.336
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,10000,10000/1,10000/1,10000,1,1,224.964
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,10000,1000/1,10000/1,1000,1,10,169.568
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,10000,100/1,10000/1,100,1,100,174.086
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,10000,10/1,10000/1,10,1,1000,154.244
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,10000,1/1,10000/1,1,1,10000,167.761
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,1000,100/1,100/1,1000,10,1,187.42
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,1000,10/1,100/1,100,10,10,177.123
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,1000,1/10,100/1,1,10,1000,171.709
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,1000,1/1,100/1,10,10,100,173.892
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,100,1/100,1/1,1,100,100,531.099
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,100,1/10,1/1,10,100,10,541.873
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,100,1/1,1/1,100,100,1,533.496
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,10,1/1000,1/100,1,1000,10,4442.662
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,10,1/100,1/100,10,1000,1,4210.042
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10000,1,1/10000,1/10000,1,10000,1,40449.692
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,1000,1000,1000/1,1000/1,1000,1,1,90.689
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,1000,1000,100/1,1000/1,100,1,10,94.843
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,1000,1000,10/1,1000/1,10,1,100,84.203
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,1000,1000,1/1,1000/1,1,1,1000,92.789
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,1000,100,10/1,10/1,100,10,1,155.857
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,1000,100,1/10,10/1,1,10,100,153.808
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,1000,100,1/1,10/1,10,10,10,163.134
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,1000,10,1/100,1/10,1,100,10,542.529
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,1000,10,1/10,1/10,10,100,1,546.122
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,1000,1,1/1000,1/1000,1,1000,1,4223.374
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100,100,100/1,100/1,100,1,1,93.94
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100,100,10/1,100/1,10,1,10,89.697
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100,100,1/1,100/1,1,1,100,93.904
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100,10,1/10,1/1,1,10,10,170.504
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100,10,1/1,1/1,10,10,1,147.692
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,100,1,1/100,1/100,1,100,1,525.647
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10,10,10/1,10/1,10,1,1,76.14
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10,10,1/1,10/1,1,1,10,81.921
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,10,1,1/10,1/10,1,10,1,155.616
8.6.12,bench/image-from-value.bench,0,image from value,null-s,2,1,1,1/1,1/1,1,1,1,79.994
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,100000,100000/1,100000/1,100000,1,1,1397.618
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,100000,10000/1,100000/1,10000,1,10,1057.609
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,100000,1000/1,100000/1,1000,1,100,1098.261
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,100000,100/1,100000/1,100,1,1000,1100.083
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,100000,10/1,100000/1,10,1,10000,1082.894
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,100000,1/1,100000/1,1,1,100000,1120.351
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,10000,1000/1,1000/1,10000,10,1,535.04
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,10000,100/1,1000/1,1000,10,10,466.473
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,10000,10/1,1000/1,100,10,100,448.573
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,10000,1/10,1000/1,1,10,10000,425.263
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,10000,1/1,1000/1,10,10,1000,441.565
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,1000,10/1,10/1,1000,100,1,783.392
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,1000,1/100,10/1,1,100,1000,791.879
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,1000,1/10,10/1,10,100,100,830.786
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,1000,1/1,10/1,100,100,10,837.815
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,100,1/1000,1/10,1,1000,100,6420.746
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,100,1/100,1/10,10,1000,10,6605.925
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,100,1/10,1/10,100,1000,1,6436.802
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,10,1/10000,1/1000,1,10000,10,62666.45
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,10,1/1000,1/1000,10,10000,1,63088.035
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100000,1,1/100000,1/100000,1,100000,1,598057.996
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,10000,10000/1,10000/1,10000,1,1,281.375
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,10000,1000/1,10000/1,1000,1,10,236.837
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,10000,100/1,10000/1,100,1,100,240.043
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,10000,10/1,10000/1,10,1,1000,229.188
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,10000,1/1,10000/1,1,1,10000,219.168
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,1000,100/1,100/1,1000,10,1,288.099
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,1000,10/1,100/1,100,10,10,261.621
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,1000,1/10,100/1,1,10,1000,238.385
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,1000,1/1,100/1,10,10,100,250.518
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,100,1/100,1/1,1,100,100,916.027
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,100,1/10,1/1,10,100,10,887.852
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,100,1/1,1/1,100,100,1,913.868
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,10,1/1000,1/100,1,1000,10,6587.422
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,10,1/100,1/100,10,1000,1,6504.705
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10000,1,1/10000,1/10000,1,10000,1,63626.896
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,1000,1000,1000/1,1000/1,1000,1,1,160.673
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,1000,1000,100/1,1000/1,100,1,10,164.058
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,1000,1000,10/1,1000/1,10,1,100,148.979
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,1000,1000,1/1,1000/1,1,1,1000,148.303
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,1000,100,10/1,10/1,100,10,1,244.637
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,1000,100,1/10,10/1,1,10,100,248.761
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,1000,100,1/1,10/1,10,10,10,249.387
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,1000,10,1/100,1/10,1,100,10,913.87
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,1000,10,1/10,1/10,10,100,1,904.79
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,1000,1,1/1000,1/1000,1,1000,1,6362.976
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100,100,100/1,100/1,100,1,1,161.013
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100,100,10/1,100/1,10,1,10,152.057
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100,100,1/1,100/1,1,1,100,148.675
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100,10,1/10,1/1,1,10,10,230.197
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100,10,1/1,1/1,10,10,1,234.125
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,100,1,1/100,1/100,1,100,1,887.052
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10,10,10/1,10/1,10,1,1,141.777
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10,10,1/1,10/1,1,1,10,147.082
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,10,1,1/10,1/10,1,10,1,245.306
8.6.12,bench/image-from-value.bench,0,image from value,null-s,4,1,1,1/1,1/1,1,1,1,152.433
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,100000,100000/1,100000/1,100000,1,1,1551.262
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,100000,10000/1,100000/1,10000,1,10,1175.316
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,100000,1000/1,100000/1,1000,1,100,1189.145
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,100000,100/1,100000/1,100,1,1000,1202.516
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,100000,10/1,100000/1,10,1,10000,1178.902
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,100000,1/1,100000/1,1,1,100000,1149.166
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,10000,1000/1,1000/1,10000,10,1,653.067
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,10000,100/1,1000/1,1000,10,10,574.332
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,10000,10/1,1000/1,100,10,100,586.82
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,10000,1/10,1000/1,1,10,10000,574.799
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,10000,1/1,1000/1,10,10,1000,591.435
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,1000,10/1,10/1,1000,100,1,1982.668
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,1000,1/100,10/1,1,100,1000,1970.647
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,1000,1/10,10/1,10,100,100,2018.291
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,1000,1/1,10/1,100,100,10,1970.466
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,100,1/1000,1/10,1,1000,100,17258.726
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,100,1/100,1/10,10,1000,10,17207.299
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,100,1/10,1/10,100,1000,1,17194.07
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,10,1/10000,1/1000,1,10000,10,170723.413
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,10,1/1000,1/1000,10,10000,1,171289.403
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,1,1/100000,1/100000,1,100000,1,1698580.602
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,10000,10000/1,10000/1,10000,1,1,382.561
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,10000,1000/1,10000/1,1000,1,10,362.034
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,10000,100/1,10000/1,100,1,100,375.71
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,10000,10/1,10000/1,10,1,1000,367.496
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,10000,1/1,10000/1,1,1,10000,340.803
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,1000,100/1,100/1,1000,10,1,503.454
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,1000,10/1,100/1,100,10,10,482.549
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,1000,1/10,100/1,1,10,1000,431.246
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,1000,1/1,100/1,10,10,100,449.751
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,100,1/100,1/1,1,100,100,1957.47
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,100,1/10,1/1,10,100,10,1957.134
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,100,1/1,1/1,100,100,1,1950.728
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,10,1/1000,1/100,1,1000,10,17300.161
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,10,1/100,1/100,10,1000,1,17203.814
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,1,1/10000,1/10000,1,10000,1,170878.188
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,1000,1000/1,1000/1,1000,1,1,302.873
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,1000,100/1,1000/1,100,1,10,294.16
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,1000,10/1,1000/1,10,1,100,299.88
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,1000,1/1,1000/1,1,1,1000,310.548
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,100,10/1,10/1,100,10,1,434.394
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,100,1/10,10/1,1,10,100,441.5
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,100,1/1,10/1,10,10,10,456.222
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,10,1/100,1/10,1,100,10,1944.829
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,10,1/10,1/10,10,100,1,1942.029
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,1,1/1000,1/1000,1,1000,1,17323.601
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100,100,100/1,100/1,100,1,1,294.032
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100,100,10/1,100/1,10,1,10,293.486
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100,100,1/1,100/1,1,1,100,297.495
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100,10,1/10,1/1,1,10,10,426.114
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100,10,1/1,1/1,10,10,1,429.15
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100,1,1/100,1/100,1,100,1,1961.939
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10,10,10/1,10/1,10,1,1,299.654
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10,10,1/1,10/1,1,1,10,290.683
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10,1,1/10,1/10,1,10,1,422.967
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1,1,1/1,1/1,1,1,1,316.208
